,real,preds
0,"hello, how are you doing tonight?",<|endoftext|>
1,i am well an loving this interaction how are you?,reptiles make me very happy.<|endoftext|>
2,i am great. i just got back from the club.,achy. just got done at the club. dancing. love it.<|endoftext|>
3,this is my favorite time of the year season wise,"cool, where do you work at?<|endoftext|>"
4,i would rather eat chocolate cake during this season.,true. dancing at the club is great.<|endoftext|>
5,what club did you go to? me an timothy watched tv,i love chocolate cake an i love running and getting out my energy<|endoftext|>
6,i went to club chino. what show are you watching?,Timothy is a great name. i went to the zoo.<|endoftext|>
7,lol oh okay kind of random,oakman. love it. i love the movie.<|endoftext|>
8,do you live in a house or apartment?,i love club chino. it is a funny show.<|endoftext|>
9,we watched a show about animals like him,house. i'm allergic to cats so i live alone<|endoftext|>
10,i love those shows. i am really craving cake.,<|endoftext|>
11,why does that matter any? i went outdoors to play frisbee,i love to eat chocolate cake an i love animals<|endoftext|>
12,it matters because i have a sweet tooth.,it is the season.<|endoftext|>
13,so? lol i want to meet my family at home in bora,what is your favorite fruit?<|endoftext|>
14,my family lives in alaska. it is freezing down there.,<|endoftext|>
15,i bet it is oh i could not,i love running and getting out of my energy<|endoftext|>
16,"how are you? being an old man, i am slowing down these days",<|endoftext|>
17,"hi, my dad is old as well, they live close to me and i see them often",.... i am getting old too. i am 3006 and a 3006... oh wow!!! i love my big truck. i travel all the time... mostly using a large vehicle.<|endoftext|>
18,that is a great thing honor your dad with your presence, i am sorry to hear that. i am actually stuck in this chair right now.<|endoftext|>
19,"sure, i pick him up for church every sunday with my ford pickup"," i just love god, and his creations. i also have a large vehicle.<|endoftext|>"
20,sounds wonderful my wheelchair can go very fast on various terrains, what do you do for a living?<|endoftext|>
21,"i guess that means you do not go hunting often? i love hunting, i own 3 guns",", i'm a hunter and i travel with my bible and my 3006.<|endoftext|>"
22,"hunting? i served in the marines, yes i hunt","hello, hunting is fun but i don't do it often. i'm more into fishing<|endoftext|>"
23,"yeah me too, i am conservative so i love church and hunting","hey, i was in the marines, and i saw some stuff. i think i saw a god in one of my 3006... that is amazing!<|endoftext|>"
